activity_name,category
Sewage sludge 75% water WWT WW from plywood production (market for sewage sludge 75% water WWT WW from plywood production),Waste Management
Solid fuel products,Fuel
Machine - for treatment of waste electric and electronic equipment (market for machine - for treatment of waste electric and electronic equipment),Construction
Residues MSWI[F] lead in car shredder residue (market for residues MSWI[F] lead in car shredder residue),Waste Management
Ferro-alloys - ferro-manganese,Metals
Concrete block - medium density solid - average strength - per kg,Building Materials
Gas turbine - 80mw - for compressed air energy storage (market for gas turbine - 80MW - for compressed air energy storage),Construction
Sawnwood - paraná pine - dried (u=10%) (market for sawnwood - paraná pine - dried (u=10%)),Timber and Forestry Products
Bottom ash MSWI waste plastic industrial electronics (market for bottom ash MSWI waste plastic industrial electronics),Waste Management
Compost (market for compost),Waste Management
Ethylene glycol dimethyl ether (market for ethylene glycol dimethyl ether),Chemical Products
Maintenance - tanker - for liquefied natural gas (market for maintenance - tanker - for liquefied natural gas),Vehicles
Compressed natural gas CNG - SI road - slip 0.20%,Fuel
Bottom ash MSWI-WWT-SLF waste graphical paper (market for bottom ash MSWI-WWT-SLF waste graphical paper),Waste Management
Cryolite (market for cryolite),Chemical Products
Timber - Parquet - Including Carbon Storage,Timber and Forestry Products
100% biodiesel - B100,Fuel
Blasting (market for blasting),Construction
Communication and energy wire and cable,Electrical Equipment
Polyurethane adhesive (market for polyurethane adhesive),Chemical Products
Coconut oil - crude (market for coconut oil - crude),Arable Farming
Sugarcane (market for sugarcane),Arable Farming
Yogurt - from cow milk (market for yogurt - from cow milk),Livestock Farming
Maintenance - barge (market for maintenance - barge),Vehicles
Crushed stone 0-2mm (dried),Building Materials
Residues MSWI[F] digester sludge (market for residues MSWI[F] digester sludge),Waste Management
Timber - Chipboard - Including Carbon Storage,Timber and Forestry Products
Mancozeb (market for mancozeb),Chemical Products
Nonferrous forging,Fabricated Metal Products
Commodity contracts dealing,Financial Services
Furnace - logs - 30kw (market for furnace - logs - 30kW),Machinery
Grass - swiss integrated production (market for grass - Swiss integrated production),Arable Farming
Plastic processing factory (market for plastic processing factory),Construction
Fur-bearing animal and rabbit production,Livestock Farming
Wood preservation - dipping/immersion method - water-based - indoor use - dry (market for wood preservation - dipping/immersion method - water-based - indoor use - dry),Timber and Forestry Products
Circulating pump <50W,Electrical Equipment
Reupholstery and furniture repair,Furnishings and Household
O-aminophenol (market for o-aminophenol),Chemical Products
Sulfidic tailing - off-site - high gold content (market for sulfidic tailing - off-site - high gold content),Mined Materials
Audio and video equipment manufacturing,Electronics
Silicone factory (market for silicone factory),Construction
Sewage sludge 75% water WWT WW from black chrome coating (market for sewage sludge 75% water WWT WW from black chrome coating),Waste Management
Transport - helicopter - lto cycle (market for transport - helicopter - LTO cycle),Vehicles
Concrete - 70% ggbs cement replacement - with total cementitious content of 260 kg per m3 of concrete,Building Materials
Property maintenance materials,Building Materials
Processed carrots,Food/Beverages/Tobacco
Impact extrusion of steel - warm - deformation stroke (market for impact extrusion of steel - warm - deformation stroke),Metals
Impact extrusion of steel - cold - 4 strokes (market for impact extrusion of steel - cold - 4 strokes),Metals
Iron scrap - unsorted (market for iron scrap - unsorted),Waste Management
Dates,Arable Farming
Alkyd resin - long oil - without solvent - in 70% white spirit solution state (market for alkyd resin - long oil - without solvent - in 70% white spirit solution state),Chemical Products
Adhesive - for metal (market for adhesive - for metal),Chemical Products
Residues MSWI[F]-WWT WW from PV cell production (market for residues MSWI[F]-WWT WW from PV cell production),Waste Management
Motor vehicle metal stampings,Vehicle Parts
"2,4-dichlorophenol (market for 2,4-dichlorophenol)",Chemical Products
Water - ultrapure (market for water - ultrapure),Water Supply
Polyvinylchloride - bulk polymerised (market for polyvinylchloride - bulk polymerised),Chemical Products
Nickel ores and concentrates,Mined Materials
Preserved fruit and vegetables and frozen foods,Food/Beverages/Tobacco
Local credit union services - explicit charges (fees),Financial Services
Cement screed,Building Materials
Furnace - logs - average storage area - 30kw (market for furnace - logs - average storage area - 30kW),Storage
Acetyl chloride (market for acetyl chloride),Chemical Products
Nitric oxide (market for nitric oxide),Chemical Products
Wineries,Food/Beverages/Tobacco
Wood preservation - dipping/immersion method - water-based - indoor use - occasionally wet (market for wood preservation - dipping/immersion method - water-based - indoor use - occasionally wet),Timber and Forestry Products
Lime - hydrated - packed (market for lime - hydrated - packed),Mined Materials
Chlorpropham (market for chlorpropham),Chemical Products
Ventilation system - central - 1 x 720 m3/h - steel ducts - with earth tube heat exchanger (market for ventilation system - central - 1 x 720 m3/h - steel ducts - with earth tube heat exchanger),Construction
Cookies / crackers and baked sweet goods,Food/Beverages/Tobacco
Melamine urea formaldehyde adhesive (market for melamine urea formaldehyde adhesive),Chemical Products
Tinplate scrap - sorted (market for tinplate scrap - sorted),Waste Management
Beef (dairy herd extensive system),Livestock Farming
All other nondepository credit intermediation,Financial Services
Industrial launderers,Clothing and Footwear
Grass silage - swiss integrated production (market for grass silage - Swiss integrated production),Arable Farming
Motor vehicle transmission and power train parts manufacturing,Vehicle Parts
Barley grain - organic (market for barley grain - organic),Arable Farming
Sewage sludge 70% water WWT WW from LCD backlight production (market for sewage sludge 70% water WWT WW from LCD backlight production),Waste Management
Manganese dioxide (market for manganese dioxide),Chemical Products
Timber - Average of all data - Including Carbon Storage,Timber and Forestry Products
Ophthalmic goods merchant wholesalers,Wholesale Trade
Soybeans (tofu),Food/Beverages/Tobacco
Injection moulding (market for injection moulding),Chemical Products
Piece goods/notions and other dry goods merchant wholesalers,Wholesale Trade
Other household nonupholstered furniture,Furnishings and Household
Sporting goods stores,General Retail
Printed wiring board mounting facility (market for printed wiring board mounting facility),Construction
Precast concrete beams and columns - steel reinforced with world average steel,Building Materials
Base oil (market for base oil),Fuel
Building operation - hostel (market for building operation - hostel),Accommodation
Cashew nuts LDPE bag,Food/Beverages/Tobacco
Ethernet GE Network switch - S5700,Electronics
Residues MSWI-WWT-SLF waste plastic plaster (market for residues MSWI-WWT-SLF waste plastic plaster),Waste Management
Dyed cotton shirt,Clothing and Footwear
Stairs,Construction
Concrete GEN0 with CEM I cement,Building Materials
Celery,Arable Farming
Cembrit cover,Building Materials
Investment advice,Financial Services
Cement - alternative constituents 21-35% (market for cement - alternative constituents 21-35%),Building Materials
Offices of lawyers,Professional Services and Activities
Household appliance stores,General Retail
Natural gas extraction,Fuel
Mine infrastructure - open cast - ilmenite from hard-rock ore (market for mine infrastructure - open cast - ilmenite from hard-rock ore),Construction
Concrete - 70% ggbs cement replacement - with total cementitious content of 360 kg per m3 of concrete,Building Materials
Photovoltaic facade installation - 3kwp - single-si - laminated - integrated - at building (market for photovoltaic facade installation - 3kWp - single-Si - laminated - integrated - at building),Construction
Rapeseed (oil),Arable Farming
Barge (market for barge),Vehicles
Fraction 1 from naphtha separation (market for fraction 1 from naphtha separation),Chemical Products
Inverter - for electric passenger car (market for inverter - for electric passenger car),Electronics
All other home furnishings stores,General Retail
Timber - Wood-plastic composite - Including Carbon Storage,Timber and Forestry Products
Sewage sludge 97% water WWT-SLF waste emulsion paint (market for sewage sludge 97% water WWT-SLF waste emulsion paint),Waste Management
Antimony slag desulfurised (market for antimony slag desulfurised),Waste Management
Flooring contractors,Construction
Sodium nitrite (market for sodium nitrite),Chemical Products
Concrete RC35/45 with 25% GGBS cement,Building Materials
Sunflower oil,Arable Farming
Ultrafiltration module (market for ultrafiltration module),Construction
Gasoline stations with convenience stores,General Retail
Frit - for ceramic tile (market for frit - for ceramic tile),Chemical Products
Bottom ash MSWI[F] waste emulsion paint (market for bottom ash MSWI[F] waste emulsion paint),Waste Management
